Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
Jan-16,7.3,8.2,7.8,8.7,7.7,8.3,8.8,7.9,8,,8.077777778
Feb-16,8.4,8,7.8,8,8,8,8.2,8.3,8.1,,8.088888889
Mar-16,8,8.3,8.1,8,7.8,8.1,8.2,8.1,7.8,,8.044444444
Apr-16,8.7,8.5,8.7,8.9,8.5,8.3,8.3,8.6,8.7,,8.577777778
May-16,8.3,8.7,8.3,8.2,8.3,8.2,8.3,8.1,9.4,,8.422222222
Jun-16,9.4,9.3,9.6,9,9.4,8.9,9,9.3,9.4,,9.255555556
Jul-16,8.8,9.5,9.8,8.9,9,8.1,8.7,8.8,9.6,,9.022222222
Aug-16,8.1,8.9,8.6,8.5,9.1,8.9,8.8,8.9,8.9,,8.744444444
Sep-16,7.8,9,9.6,8,9,8.7,9,9.4,9.4,,8.877777778
Oct-16,7.9,9.2,8.9,7.8,8.7,7.6,7.7,8.8,9,,8.4
Nov-16,7.9,8.55,8.65,8.1,8.5,8.3,8.1,8.8,8.7,,8.4
Dec-16,7.9,7.9,8.4,8.4,8.3,9,8.5,8.8,8.4,,8.4
Jan-17,8.4,8,8.3,8.1,8,8.6,8.4,8.7,7.8,,8.255555556
Feb-17,8,7.9,7.9,8.4,7.9,8.4,7.9,8.1,7.9,,8.044444444
Mar-17,7.9,8.4,8,7.9,8.2,8.1,8.5,8.3,8.3,,8.177777778
Apr-17,7.7,7.8,7.8,7.9,7.8,7.8,7.8,7.9,7.8,,7.811111111
May-17,8.3,6.3,8.7,7.6,8,8.3,8,8.2,8.3,,7.966666667
Jun-17,8.6,8.2,8.3,8.1,8.4,8.3,8.4,8.5,9,,8.422222222
Jul-17,8.2,7.9,8.6,7.7,8.1,7.9,8.3,8.1,8.5,,8.144444444
Aug-17,8.6,8.6,9.1,8.8,9,8.7,8.5,9.2,8.6,,8.788888889
Sep-17,8.2,8.7,9.3,7.9,8.7,8.8,8.9,8.3,8.4,,8.577777778
Oct-17,8.2,8..3,8,8.4,9.2,7.7,9.3,8.2,8,,8.375
Nov-17,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
Dec-17,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
Jan-18,7.9,7.7,7.9,8,7.7,8.3,8.3,8.2,8.1,,8.011111111
Feb-18,8.2,8,8.1,8.3,8,8.7,8.7,8.7,8.1,,8.311111111
Mar-18,8.4,8.3,8.2,8,8.2,8.3,8.2,8,8.2,,8.2
Apr-18,7.9,8.1,8.2,8.4,8.1,8.6,8.5,8.3,8.4,,8.277777778
May-18,8.5,8.1,8.1,8.7,8.3,8.4,8.5,8.3,8.3,,8.355555556
Jun-18,8.5,9.6,8.8,8.8,8.9,9.7,8.7,8.9,9.7,,9.066666667
Jul-18,9.7,9.1,9.4,9,8.8,8.5,8.8,8.9,9.5,,9.077777778
Aug-18,7.9,8.7,9.1,8.6,8.5,8.5,8.6,8.9,9.2,,8.666666667
Sep-18,9,8.7,8.7,8.5,8.9,9,9,8.8,8.8,,8.822222222
Oct-18,8.7,8.5,8.6,8.4,8.5,8.7,8.8,8.7,8.6,,8.611111111
Nov-18,84,8.4,8.7,8.9,7.9,8.5,8.3,8.1,8.3,,16.78888889
Dec-18,8.6,8.5,8.4,8.9,8.2,8.7,8.8,8.8,8.8,,8.633333333
Jan-19,8.3,7.5,7.8,8.5,7.6,8.2,7.8,8.1,7.6,,7.933333333
Feb-19,8.8,8.3,8.4,8,8.5,8.8,9,9.2,8.2,,8.577777778
Mar-19,8.2,8.2,8.3,8.1,8.2,8.6,8.3,8.9,8.6,,8.377777778
Apr-19,8.9,8.4,8.2,8.4,8.4,8.9,8.5,8.1,8.5,,8.477777778
May-19,9,8.7,8.4,8.7,8.3,8.5,9,8.6,9.2,,8.711111111
Jun-19,9.4,9.1,9.2,9.3,9.3,9.4,9.4,9.3,9.2,,9.288888889
Jul-19,8.2,9.1,8.3,7.9,7.1,8.6,8.7,8.9,9.6,,8.488888889
Aug-19,7.8,8.3,8.3,8.3,8.6,8.4,8.5,8.5,8.1,,8.311111111
Sep-19,8,8.5,8.1,8.8,8.7,8.4,9.1,8.9,8.6,,8.566666667
Oct-19,8.5,8.8,8.5,8.7,8.7,8.5,8.6,9.1,8.6,,8.666666667
Nov-19,8.5,8.9,8.8,9.5,8.7,8.2,9.2,8.7,8.9,,8.822222222
Dec-19,7.8,7.8,8.2,8,8,9,7.8,8.2,7.8,,8.066666667
Jan-20,8,8.2,7.9,8.2,8.2,8.1,8.3,8.3,7.7,,8.1
Feb-20,8,8.2,8.2,8.3,8.2,8.2,8.6,8.4,7.9,,8.222222222
Mar-20,8.7,8.7,8.6,8.8,8.7,8.8,8.7,8.8,8.6,,8.711111111
Apr-20,8.716666667,8.7,8.55,8.85,8.716666667,8.7,8.75,8.8,8.533333333,,8.701851852
May-20,8.733333333,8.7,8.5,8.9,8.733333333,8.6,8.8,8.8,8.466666667,,8.692592593
Jun-20,8.75,8.7,8.45,8.95,8.75,8.5,8.85,8.8,8.4,,8.683333333
Jul-20,8.766666667,8.7,8.4,9,8.766666667,8.4,8.9,8.8,8.333333333,,8.674074074
Aug-20,8.783333333,8.7,8.35,9.05,8.783333333,8.3,8.95,8.8,8.266666667,,8.664814815
Sep-20,8.8,8.7,8.3,9.1,8.8,8.2,9,8.8,8.2,,8.655555556
Oct-20,8.8,8.5,8.8,8.4,8.7,8.7,8.8,8.3,8.2,,8.577777778
Nov-20,7.9,7.9,8.4,8.4,8,8,7.9,8,7.7,,8.022222222
Dec-20,8,8,8.2,8.2,8.5,8,8.1,8.4,8.1,,8.166666667
Jan-21,8.3,8.2,8.2,8.1,8.2,8.3,8.4,8.3,8,,8.222222222
Feb-21,8.1,8,7.9,7.7,8,8.2,8.4,8,8.2,,8.055555556
Mar-21,8.7,8.4,8.3,8.7,8.4,8.1,8.5,8.4,8.6,,8.455555556
Apr-21,8.55,8.4,8.35,8.55,8.3,8.3,8.35,8.4,8.3,,8.388888889
May-21,8.4,8.4,8.4,8.4,8.2,8.5,8.2,8.4,8,,8.322222222
Jun-21,8.7,8.2,9,9.7,8.9,9.1,8.9,9,8.9,,8.933333333
Jul-21,8.9,8.9,8.5,9.1,8.8,9.1,8.8,8.9,9.6,,8.955555556
Aug-21,8.2,8.2,8.3,8.4,8.7,8.7,8.3,9.25,7.4,,8.383333333
Sep-21,9.2,8.8,9.2,9,8.9,8.9,9,9.6,9.2,,9.088888889
Oct-21,8.1,7.7,7.8,8.3,7.7,7.6,7.6,8,7.7,,7.833333333
Nov-21,8.1,7.9,7.9,8.2,8.1,8.3,8.2,8,8,,8.077777778
Dec-21,8.3,8.4,8.2,8.1,8.3,8.2,8.2,8.1,8.2,,8.222222222
Jan-22,8.3,8.4,8.2,8.3,8.35,8.25,8.25,8.2,8.2,,8.272222222
Feb-22,8.3,8.4,8.2,8.5,8.4,8.3,8.3,8.3,8.2,,8.322222222
Mar-22,7.9,8.2,8,8.3,8.2,8,8.1,8.2,8.1,,8.111111111
Apr-22,8.2,8.1,8.3,8.7,8.1,8.3,8.3,8.4,8.2,,8.288888889
May-22,8.2,8.2,8.4,8.3,8.2,8.1,8.1,8.5,8.5,,8.277777778
Jun-22,9,9,9.1,9,8.8,8.9,8.9,9.1,9.2,,9
Jul-22,9.4,9.3,9.4,9.3,9.2,8.9,8.3,9.4,9.2,,9.155555556
Aug-22,7.9,8,8.9,8.5,8.8,8.2,8.5,8.7,8.9,,8.488888889
Sep-22,7.9,8,7.8,8.6,6.8,7.9,8,8.7,8.3,,8
Oct-22,7.5,7.6,7.7,7.7,8.1,7.9,7.7,7.8,7.4,,7.711111111
Nov-22,7.5,7.3,7.75,8,7.7,7.4,7.6,8,7,,7.583333333
Dec-22,7.1,7.6,7.8,7.3,7.1,7.8,7.6,7.8,7.4,,7.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
